#x y z n map H1 H2 H3 C
4 1 0 129 0 0.000000 0.000000 0.000000 0.000000 
4 2 0 130 0 0.000000 0.000000 0.000000 0.000000 
4 3 0 131 0 0.000000 0.000000 0.000000 0.000000 
4 4 0 132 0 0.000000 0.000000 0.000000 0.000000 
4 5 0 133 0 0.000000 0.000000 0.000000 0.000000 
4 6 0 134 0 0.000000 0.000000 0.000000 0.000000 
4 7 0 135 0 0.000000 0.000000 0.000000 0.000000 
4 8 0 136 0 0.000000 0.000000 0.000000 0.000000 
4 9 0 137 0 0.000000 0.000000 0.000000 0.000000 
4 10 0 138 0 0.000000 0.000000 0.000000 0.000000 
4 11 0 139 0 0.000000 0.000000 0.000000 0.000000 
4 12 0 140 0 0.000000 0.000000 0.000000 0.000000 
4 13 0 141 0 0.000000 0.000000 0.000000 0.000000 
4 14 0 142 0 0.000000 0.000000 0.000000 0.000000 
4 15 0 143 0 0.000000 0.000000 0.000000 0.000000 
4 16 0 144 0 0.000000 0.000000 0.000000 0.000000 
4 17 0 145 0 0.000000 0.000000 0.000000 0.000000 
4 18 0 146 0 0.000000 0.000000 0.000000 0.000000 
4 19 0 147 0 0.000000 0.000000 0.000000 0.000000 
4 20 0 148 0 0.000000 0.000000 0.000000 0.000000 
4 21 0 149 0 0.000000 0.000000 0.000000 0.000000 
4 22 0 150 0 0.000000 0.000000 0.000000 0.000000 
4 23 0 151 0 0.000000 0.000000 0.000000 0.000000 
4 24 0 152 0 0.000000 0.000000 0.000000 0.000000 
4 25 0 153 0 0.000000 0.000000 0.000000 0.000000 
4 26 0 154 0 0.000000 0.000000 0.000000 0.000000 
4 27 0 155 0 0.000000 0.000000 0.000000 0.000000 
4 28 0 156 0 0.000000 0.000000 0.000000 0.000000 
4 29 0 157 0 0.000000 0.000000 0.000000 0.000000 
4 30 0 158 0 0.000000 0.000000 0.000000 0.000000 
4 31 0 159 1 0.002000 -0.002000 0.000000 0.000000 
5 0 0 160 1 0.002000 -0.002000 0.000000 0.000000 
5 1 0 161 0 0.000000 0.000000 0.000000 0.000000 
5 2 0 162 0 0.000000 0.000000 0.000000 0.000000 
5 3 0 163 0 0.000000 0.000000 0.000000 0.000000 
5 4 0 164 0 0.000000 0.000000 0.000000 0.000000 
5 5 0 165 0 0.000000 0.000000 0.000000 0.000000 
5 6 0 166 0 0.000000 0.000000 0.000000 0.000000 
5 7 0 167 0 0.000000 0.000000 0.000000 0.000000 
5 8 0 168 0 0.000000 0.000000 0.000000 0.000000 
5 9 0 169 0 0.000000 0.000000 0.000000 0.000000 
5 10 0 170 0 0.000000 0.000000 0.000000 0.000000 
5 11 0 171 0 0.000000 0.000000 0.000000 0.000000 
5 12 0 172 0 0.000000 0.000000 0.000000 0.000000 
5 13 0 173 0 0.000000 0.000000 0.000000 0.000000 
5 14 0 174 0 0.000000 0.000000 0.000000 0.000000 
5 15 0 175 0 0.000000 0.000000 0.000000 0.000000 
5 16 0 176 0 0.000000 0.000000 0.000000 0.000000 
5 17 0 177 0 0.000000 0.000000 0.000000 0.000000 
5 18 0 178 0 0.000000 0.000000 0.000000 0.000000 
5 19 0 179 0 0.000000 0.000000 0.000000 0.000000 
5 20 0 180 0 0.000000 0.000000 0.000000 0.000000 
5 21 0 181 0 0.000000 0.000000 0.000000 0.000000 
5 22 0 182 0 0.000000 0.000000 0.000000 0.000000 
5 23 0 183 0 0.000000 0.000000 0.000000 0.000000 
5 24 0 184 0 0.000000 0.000000 0.000000 0.000000 
5 25 0 185 0 0.000000 0.000000 0.000000 0.000000 
5 26 0 186 0 0.000000 0.000000 0.000000 0.000000 
5 27 0 187 0 0.000000 0.000000 0.000000 0.000000 
5 28 0 188 0 0.000000 0.000000 0.000000 0.000000 
5 29 0 189 0 0.000000 0.000000 0.000000 0.000000 
5 30 0 190 0 0.000000 0.000000 0.000000 0.000000 
5 31 0 191 1 0.002000 -0.002000 0.000000 0.000000 
6 0 0 192 1 0.002000 -0.002000 0.000000 0.000000 
6 1 0 193 0 0.000000 0.000000 0.000000 0.000000 
6 2 0 194 0 0.000000 0.000000 0.000000 0.000000 
6 3 0 195 0 0.000000 0.000000 0.000000 0.000000 
6 4 0 196 0 0.000000 0.000000 0.000000 0.000000 
6 5 0 197 0 0.000000 0.000000 0.000000 0.000000 
6 6 0 198 0 0.000000 0.000000 0.000000 0.000000 
6 7 0 199 0 0.000000 0.000000 0.000000 0.000000 
6 8 0 200 0 0.000000 0.000000 0.000000 0.000000 
6 9 0 201 0 0.000000 0.000000 0.000000 0.000000 
6 10 0 202 0 0.000000 0.000000 0.000000 0.000000 
6 11 0 203 0 0.000000 0.000000 0.000000 0.000000 
6 12 0 204 0 0.000000 0.000000 0.000000 0.000000 
6 13 0 205 0 0.000000 0.000000 0.000000 0.000000 
6 14 0 206 0 0.000000 0.000000 0.000000 0.000000 
6 15 0 207 0 0.000000 0.000000 0.000000 0.000000 
6 16 0 208 0 0.000000 0.000000 0.000000 0.000000 
6 17 0 209 0 0.000000 0.000000 0.000000 0.000000 
6 18 0 210 0 0.000000 0.000000 0.000000 0.000000 
6 19 0 211 0 0.000000 0.000000 0.000000 0.000000 
6 20 0 212 0 0.000000 0.000000 0.000000 0.000000 
6 21 0 213 0 0.000000 0.000000 0.000000 0.000000 
6 22 0 214 0 0.000000 0.000000 0.000000 0.000000 
6 23 0 215 0 0.000000 0.000000 0.000000 0.000000 
6 24 0 216 0 0.000000 0.000000 0.000000 0.000000 
6 25 0 217 0 0.000000 0.000000 0.000000 0.000000 
6 26 0 218 0 0.000000 0.000000 0.000000 0.000000 
6 27 0 219 0 0.000000 0.000000 0.000000 0.000000 
6 28 0 220 0 0.000000 0.000000 0.000000 0.000000 
6 29 0 221 0 0.000000 0.000000 0.000000 0.000000 
6 30 0 222 0 0.000000 0.000000 0.000000 0.000000 
6 31 0 223 1 0.002000 -0.002000 0.000000 0.000000 
7 0 0 224 1 0.002000 -0.002000 0.000000 0.000000 
7 1 0 225 0 0.000000 0.000000 0.000000 0.000000 
7 2 0 226 0 0.000000 0.000000 0.000000 0.000000 
7 3 0 227 0 0.000000 0.000000 0.000000 0.000000 
7 4 0 228 0 0.000000 0.000000 0.000000 0.000000 
7 5 0 229 0 0.000000 0.000000 0.000000 0.000000 
7 6 0 230 0 0.000000 0.000000 0.000000 0.000000 
7 7 0 231 0 0.000000 0.000000 0.000000 0.000000 
7 8 0 232 0 0.000000 0.000000 0.000000 0.000000 
7 9 0 233 0 0.000000 0.000000 0.000000 0.000000 
7 10 0 234 0 0.000000 0.000000 0.000000 0.000000 
7 11 0 235 0 0.000000 0.000000 0.000000 0.000000 
7 12 0 236 0 0.000000 0.000000 0.000000 0.000000 
7 13 0 237 0 0.000000 0.000000 0.000000 0.000000 
7 14 0 238 0 0.000000 0.000000 0.000000 0.000000 
7 15 0 239 0 0.000000 0.000000 0.000000 0.000000 
7 16 0 240 0 0.000000 0.000000 0.000000 0.000000 
7 17 0 241 0 0.000000 0.000000 0.000000 0.000000 
7 18 0 242 0 0.000000 0.000000 0.000000 0.000000 
7 19 0 243 0 0.000000 0.000000 0.000000 0.000000 
7 20 0 244 0 0.000000 0.000000 0.000000 0.000000 
7 21 0 245 0 0.000000 0.000000 0.000000 0.000000 
7 22 0 246 0 0.000000 0.000000 0.000000 0.000000 
7 23 0 247 0 0.000000 0.000000 0.000000 0.000000 
7 24 0 248 0 0.000000 0.000000 0.000000 0.000000 
7 25 0 249 0 0.000000 0.000000 0.000000 0.000000 
7 26 0 250 0 0.000000 0.000000 0.000000 0.000000 
7 27 0 251 0 0.000000 0.000000 0.000000 0.000000 
7 28 0 252 0 0.000000 0.000000 0.000000 0.000000 
7 29 0 253 0 0.000000 0.000000 0.000000 0.000000 
7 30 0 254 0 0.000000 0.000000 0.000000 0.000000 
7 31 0 255 1 0.002000 -0.002000 0.000000 0.000000 
8 0 0 256 1 0.002000 -0.002000 0.000000 0.000000 
8 1 0 257 0 0.000000 0.000000 0.000000 0.000000 
8 2 0 258 0 0.000000 0.000000 0.000000 0.000000 
8 3 0 259 0 0.000000 0.000000 0.000000 0.000000 
8 4 0 260 0 0.000000 0.000000 0.000000 0.000000 
8 5 0 261 0 0.000000 0.000000 0.000000 0.000000 
8 6 0 262 0 0.000000 0.000000 0.000000 0.000000 
8 7 0 263 0 0.000000 0.000000 0.000000 0.000000 
8 8 0 264 0 0.000000 0.000000 0.000000 0.000000 
8 9 0 265 0 0.000000 0.000000 0.000000 0.000000 
8 10 0 266 0 0.000000 0.000000 0.000000 0.000000 
8 11 0 267 0 0.000000 0.000000 0.000000 0.000000 
8 12 0 268 0 0.000000 0.000000 0.000000 0.000000 
8 13 0 269 0 0.000000 0.000000 0.000000 0.000000 
8 14 0 270 0 0.000000 0.000000 0.000000 0.000000 
8 15 0 271 0 0.000000 0.000000 0.000000 0.000000 
8 16 0 272 0 0.000000 0.000000 0.000000 0.000000 
8 17 0 273 0 0.000000 0.000000 0.000000 0.000000 
8 18 0 274 0 0.000000 0.000000 0.000000 0.000000 
8 19 0 275 0 0.000000 0.000000 0.000000 0.000000 
8 20 0 276 0 0.000000 0.000000 0.000000 0.000000 
8 21 0 277 0 0.000000 0.000000 0.000000 0.000000 
8 22 0 278 0 0.000000 0.000000 0.000000 0.000000 
8 23 0 279 0 0.000000 0.000000 0.000000 0.000000 
8 24 0 280 0 0.000000 0.000000 0.000000 0.000000 
8 25 0 281 0 0.000000 0.000000 0.000000 0.000000 
8 26 0 282 0 0.000000 0.000000 0.000000 0.000000 
8 27 0 283 0 0.000000 0.000000 0.000000 0.000000 
8 28 0 284 0 0.000000 0.000000 0.000000 0.000000 
8 29 0 285 0 0.000000 0.000000 0.000000 0.000000 
8 30 0 286 0 0.000000 0.000000 0.000000 0.000000 
8 31 0 287 1 0.002000 -0.002000 0.000000 0.000000 
9 0 0 288 1 0.002000 -0.002000 0.000000 0.000000 
9 1 0 289 0 0.000000 0.000000 0.000000 0.000000 
9 2 0 290 0 0.000000 0.000000 0.000000 0.000000 
9 3 0 291 0 0.000000 0.000000 0.000000 0.000000 
9 4 0 292 0 0.000000 0.000000 0.000000 0.000000 
9 5 0 293 0 0.000000 0.000000 0.000000 0.000000 
9 6 0 294 0 0.000000 0.000000 0.000000 0.000000 
9 7 0 295 0 0.000000 0.000000 0.000000 0.000000 
9 8 0 296 0 0.000000 0.000000 0.000000 0.000000 
9 9 0 297 0 0.000000 0.000000 0.000000 0.000000 
9 10 0 298 0 0.000000 0.000000 0.000000 0.000000 
9 11 0 299 0 0.000000 0.000000 0.000000 0.000000 
9 12 0 300 0 0.000000 0.000000 0.000000 0.000000 
9 13 0 301 0 0.000000 0.000000 0.000000 0.000000 
9 14 0 302 0 0.000000 0.000000 0.000000 0.000000 
9 15 0 303 0 0.000000 0.000000 0.000000 0.000000 
9 16 0 304 0 0.000000 0.000000 0.000000 0.000000 
9 17 0 305 0 0.000000 0.000000 0.000000 0.000000 
9 18 0 306 0 0.000000 0.000000 0.000000 0.000000 
9 19 0 307 0 0.000000 0.000000 0.000000 0.000000 
9 20 0 308 0 0.000000 0.000000 0.000000 0.000000 
9 21 0 309 0 0.000000 0.000000 0.000000 0.000000 
9 22 0 310 0 0.000000 0.000000 0.000000 0.000000 
9 23 0 311 0 0.000000 0.000000 0.000000 0.000000 
9 24 0 312 0 0.000000 0.000000 0.000000 0.000000 
9 25 0 313 0 0.000000 0.000000 0.000000 0.000000 
9 26 0 314 0 0.000000 0.000000 0.000000 0.000000 
9 27 0 315 0 0.000000 0.000000 0.000000 0.000000 
9 28 0 316 0 0.000000 0.000000 0.000000 0.000000 
9 29 0 317 0 0.000000 0.000000 0.000000 0.000000 
9 30 0 318 0 0.000000 0.000000 0.000000 0.000000 
9 31 0 319 1 0.002000 -0.002000 0.000000 0.000000 
10 0 0 320 1 0.002000 -0.002000 0.000000 0.000000 
10 1 0 321 0 0.000000 0.000000 0.000000 0.000000 
10 2 0 322 0 0.000000 0.000000 0.000000 0.000000 
10 3 0 323 0 0.000000 0.000000 0.000000 0.000000 
10 4 0 324 0 0.000000 0.000000 0.000000 0.000000 
10 5 0 325 0 0.000000 0.000000 0.000000 0.000000 
10 6 0 326 0 0.000000 0.000000 0.000000 0.000000 
10 7 0 327 0 0.000000 0.000000 0.000000 0.000000 
10 8 0 328 0 0.000000 0.000000 0.000000 0.000000 
10 9 0 329 0 0.000000 0.000000 0.000000 0.000000 
10 10 0 330 0 0.000000 0.000000 0.000000 0.000000 
10 11 0 331 0 0.000000 0.000000 0.000000 0.000000 
10 12 0 332 0 0.000000 0.000000 0.000000 0.000000 
10 13 0 333 0 0.000000 0.000000 0.000000 0.000000 
10 14 0 334 0 0.000000 0.000000 0.000000 0.000000 
10 15 0 335 0 0.000000 0.000000 0.000000 0.000000 
10 16 0 336 0 0.000000 0.000000 0.000000 0.000000 
10 17 0 337 0 0.000000 0.000000 0.000000 0.000000 
10 18 0 338 0 0.000000 0.000000 0.000000 0.000000 
10 19 0 339 0 0.000000 0.000000 0.000000 0.000000 
10 20 0 340 0 0.000000 0.000000 0.000000 0.000000 
10 21 0 341 0 0.000000 0.000000 0.000000 0.000000 
10 22 0 342 0 0.000000 0.000000 0.000000 0.000000 
10 23 0 343 0 0.000000 0.000000 0.000000 0.000000 
10 24 0 344 0 0.000000 0.000000 0.000000 0.000000 
10 25 0 345 0 0.000000 0.000000 0.000000 0.000000 
10 26 0 346 0 0.000000 0.000000 0.000000 0.000000 
10 27 0 347 0 0.000000 0.000000 0.000000 0.000000 
10 28 0 348 0 0.000000 0.000000 0.000000 0.000000 
10 29 0 349 0 0.000000 0.000000 0.000000 0.000000 
10 30 0 350 0 0.000000 0.000000 0.000000 0.000000 
10 31 0 351 1 0.002000 -0.002000 0.000000 0.000000 
11 0 0 352 1 0.002000 -0.002000 0.000000 0.000000 
11 1 0 353 0 0.000000 0.000000 0.000000 0.000000 
11 2 0 354 0 0.000000 0.000000 0.000000 0.000000 
11 3 0 355 0 0.000000 0.000000 0.000000 0.000000 
11 4 0 356 0 0.000000 0.000000 0.000000 0.000000 
11 5 0 357 0 0.000000 0.000000 0.000000 0.000000 
11 6 0 358 0 0.000000 0.000000 0.000000 0.000000 
11 7 0 359 0 0.000000 0.000000 0.000000 0.000000 
11 8 0 360 0 0.000000 0.000000 0.000000 0.000000 
11 9 0 361 0 0.000000 0.000000 0.000000 0.000000 
11 10 0 362 0 0.000000 0.000000 0.000000 0.000000 
11 11 0 363 0 0.000000 0.000000 0.000000 0.000000 
11 12 0 364 0 0.000000 0.000000 0.000000 0.000000 
11 13 0 365 0 0.000000 0.000000 0.000000 0.000000 
11 14 0 366 0 0.000000 0.000000 0.000000 0.000000 
11 15 0 367 0 0.000000 0.000000 0.000000 0.000000 
11 16 0 368 0 0.000000 0.000000 0.000000 0.000000 
11 17 0 369 0 0.000000 0.000000 0.000000 0.000000 
11 18 0 370 0 0.000000 0.000000 0.000000 0.000000 
11 19 0 371 0 0.000000 0.000000 0.000000 0.000000 
11 20 0 372 0 0.000000 0.000000 0.000000 0.000000 
11 21 0 373 0 0.000000 0.000000 0.000000 0.000000 
11 22 0 374 0 0.000000 0.000000 0.000000 0.000000 
11 23 0 375 0 0.000000 0.000000 0.000000 0.000000 
11 24 0 376 0 0.000000 0.000000 0.000000 0.000000 
11 25 0 377 0 0.000000 0.000000 0.000000 0.000000 
11 26 0 378 0 0.000000 0.000000 0.000000 0.000000 
11 27 0 379 0 0.000000 0.000000 0.000000 0.000000 
11 28 0 380 0 0.000000 0.000000 0.000000 0.000000 
11 29 0 381 0 0.000000 0.000000 0.000000 0.000000 
11 30 0 382 0 0.000000 0.000000 0.000000 0.000000 
11 31 0 383 1 0.002000 -0.002000 0.000000 0.000000 
12 0 0 384 1 0.002000 -0.002000 0.000000 0.000000 
12 1 0 385 0 0.000000 0.000000 0.000000 0.000000 
12 2 0 386 0 0.000000 0.000000 0.000000 0.000000 
12 3 0 387 0 0.000000 0.000000 0.000000 0.000000 
12 4 0 388 0 0.000000 0.000000 0.000000 0.000000 
12 5 0 389 0 0.000000 0.000000 0.000000 0.000000 
12 6 0 390 0 0.000000 0.000000 0.000000 0.000000 
12 7 0 391 0 0.000000 0.000000 0.000000 0.000000 
12 8 0 392 0 0.000000 0.000000 0.000000 0.000000 
12 9 0 393 0 0.000000 0.000000 0.000000 0.000000 
12 10 0 394 0 0.000000 0.000000 0.000000 0.000000 
12 11 0 395 0 0.000000 0.000000 0.000000 0.000000 
12 12 0 396 0 0.000000 0.000000 0.000000 0.000000 
12 13 0 397 0 0.000000 0.000000 0.000000 0.000000 
12 14 0 398 0 0.000000 0.000000 0.000000 0.000000 
12 15 0 399 0 0.000000 0.000000 0.000000 0.000000 
12 16 0 400 0 0.000000 0.000000 0.000000 0.000000 
12 17 0 401 0 0.000000 0.000000 0.000000 0.000000 
12 18 0 402 0 0.000000 0.000000 0.000000 0.000000 
12 19 0 403 0 0.000000 0.000000 0.000000 0.000000 
12 20 0 404 0 0.000000 0.000000 0.000000 0.000000 
12 21 0 405 0 0.000000 0.000000 0.000000 0.000000 
12 22 0 406 0 0.000000 0.000000 0.000000 0.000000 
12 23 0 407 0 0.000000 0.000000 0.000000 0.000000 
12 24 0 408 0 0.000000 0.000000 0.000000 0.000000 
12 25 0 409 0 0.000000 0.000000 0.000000 0.000000 
12 26 0 410 0 0.000000 0.000000 0.000000 0.000000 
12 27 0 411 0 0.000000 0.000000 0.000000 0.000000 
12 28 0 412 0 0.000000 0.000000 0.000000 0.000000 
12 29 0 413 0 0.000000 0.000000 0.000000 0.000000 
12 30 0 414 0 0.000000 0.000000 0.000000 0.000000 
12 31 0 415 1 0.002000 -0.002000 0.000000 0.000000 
13 0 0 416 1 0.002000 -0.002000 0.000000 0.000000 
13 1 0 417 0 0.000000 0.000000 0.000000 0.000000 
13 2 0 418 0 0.000000 0.000000 0.000000 0.000000 
13 3 0 419 0 0.000000 0.000000 0.000000 0.000000 
13 4 0 420 0 0.000000 0.000000 0.000000 0.000000 
13 5 0 421 0 0.000000 0.000000 0.000000 0.000000 
13 6 0 422 0 0.000000 0.000000 0.000000 0.000000 
13 7 0 423 0 0.000000 0.000000 0.000000 0.000000 
13 8 0 424 0 0.000000 0.000000 0.000000 0.000000 
13 9 0 425 0 0.000000 0.000000 0.000000 0.000000 
13 10 0 426 0 0.000000 0.000000 0.000000 0.000000 
13 11 0 427 0 0.000000 0.000000 0.000000 0.000000 
13 12 0 428 0 0.000000 0.000000 0.000000 0.000000 
13 13 0 429 0 0.000000 0.000000 0.000000 0.000000 
13 14 0 430 0 0.000000 0.000000 0.000000 0.000000 
13 15 0 431 0 0.000000 0.000000 0.000000 0.000000 
13 16 0 432 0 0.000000 0.000000 0.000000 0.000000 
13 17 0 433 0 0.000000 0.000000 0.000000 0.000000 
13 18 0 434 0 0.000000 0.000000 0.000000 0.000000 
13 19 0 435 0 0.000000 0.000000 0.000000 0.000000 
13 20 0 436 0 0.000000 0.000000 0.000000 0.000000 
13 21 0 437 0 0.000000 0.000000 0.000000 0.000000 
13 22 0 438 0 0.000000 0.000000 0.000000 0.000000 
13 23 0 439 0 0.000000 0.000000 0.000000 0.000000 
13 24 0 440 0 0.000000 0.000000 0.000000 0.000000 
13 25 0 441 0 0.000000 0.000000 0.000000 0.000000 
13 26 0 442 0 0.000000 0.000000 0.000000 0.000000 
13 27 0 443 0 0.000000 0.000000 0.000000 0.000000 
13 28 0 444 0 0.000000 0.000000 0.000000 0.000000 
13 29 0 445 0 0.000000 0.000000 0.000000 0.000000 
13 30 0 446 0 0.000000 0.000000 0.000000 0.000000 
13 31 0 447 1 0.002000 -0.002000 0.000000 0.000000 
